Listing...
libgssapi-krb5-2/oldstable 1.15-1+deb9u2 amd64 [upgradable from: 1.15-1+deb9u1]
libgssdp-1.0-3/oldstable 1.0.1-1+deb9u1 amd64 [upgradable from: 1.0.1-1]
libgstreamer-plugins-bad1.0-0/oldstable 1.10.4-1+deb9u2 amd64 [upgradable from: 1.10.4-1]
libgstreamer-plugins-base1.0-0/oldstable 1.10.4-1+deb9u2 amd64 [upgradable from: 1.10.4-1+deb9u1]
libgupnp-1.0-4/oldstable 1.0.1-1+deb9u1 amd64 [upgradable from: 1.0.1-1]
libicu-dev/oldstable,oldstable 57.1-6+deb9u4 amd64 [upgradable from: 57.1-6+deb9u2]
libicu57/oldstable,oldstable 57.1-6+deb9u4 amd64 [upgradable from: 57.1-6+deb9u2]
libidn11/oldstable 1.33-1+deb9u1 amd64 [upgradable from: 1.33-1]
libisc-export160/oldstable 1:9.10.3.dfsg.P4-12.3+deb9u8 amd64 [upgradable from: 1:9.10.3.dfsg.P4-12.3+deb9u5]
libisc160/oldstable 1:9.10.3.dfsg.P4-12.3+deb9u8 amd64 [upgradable from: 1:9.10.3.dfsg.P4-12.3+deb9u5]
libisccc140/oldstable 1:9.10.3.dfsg.P4-12.3+deb9u8 amd64 [upgradable from: 1:9.10.3.dfsg.P4-12.3+deb9u5]
libisccfg140/oldstable 1:9.10.3.dfsg.P4-12.3+deb9u8 amd64 [upgradable from: 1:9.10.3.dfsg.P4-12.3+deb9u5]
libjpeg-turbo-progs/oldstable 1:1.5.1-2+deb9u1 amd64 [upgradable from: 1:1.5.1-2]
libjpeg62-turbo/oldstable 1:1.5.1-2+deb9u1 amd64 [upgradable from: 1:1.5.1-2]
libjs-jquery/oldstable,oldstable 3.1.1-2+deb9u2 all [upgradable from: 3.1.1-2+deb9u1]
libjs-underscore/oldstable,oldstable 1.8.3~dfsg-1+deb9u1 all [upgradable from: 1.8.3~dfsg-1]
libk5crypto3/oldstable 1.15-1+deb9u2 amd64 [upgradable from: 1.15-1+deb9u1]
libkf5config-bin/oldstable,oldstable 5.28.0-2+deb9u1 amd64 [upgradable from: 5.28.0-2]
libkf5config-bin-dev/oldstable,oldstable 5.28.0-2+deb9u1 amd64 [upgradable from: 5.28.0-2]
libkf5config-data/oldstable,oldstable,oldstable,oldstable 5.28.0-2+deb9u1 all [upgradable from: 5.28.0-2]
libkf5config-dev/oldstable,oldstable 5.28.0-2+deb9u1 amd64 [upgradable from: 5.28.0-2]
libkf5configcore5/oldstable,oldstable 5.28.0-2+deb9u1 amd64 [upgradable from: 5.28.0-2]
libkf5configgui5/oldstable,oldstable 5.28.0-2+deb9u1 amd64 [upgradable from: 5.28.0-2]
libkrb5-3/oldstable 1.15-1+deb9u2 amd64 [upgradable from: 1.15-1+deb9u1]
libkrb5support0/oldstable 1.15-1+deb9u2 amd64 [upgradable from: 1.15-1+deb9u1]
libldap-2.4-2/oldstable 2.4.44+dfsg-5+deb9u8 amd64 [upgradable from: 2.4.44+dfsg-5+deb9u2]
libldap-common/oldstable,oldstable 2.4.44+dfsg-5+deb9u8 all [upgradable from: 2.4.44+dfsg-5+deb9u2]
libldb1/oldstable 2:1.1.27-1+deb9u2 amd64 [upgradable from: 2:1.1.27-1+deb9u1]
liblwres141/oldstable 1:9.10.3.dfsg.P4-12.3+deb9u8 amd64 [upgradable from: 1:9.10.3.dfsg.P4-12.3+deb9u5]
libmagic-mgc/oldstable,oldstable 1:5.30-1+deb9u3 amd64 [upgradable from: 1:5.30-1+deb9u2]
libmagic1/oldstable,oldstable 1:5.30-1+deb9u3 amd64 [upgradable from: 1:5.30-1+deb9u2]
libmagickcore-6.q16-3/oldstable 8:6.9.7.4+dfsg-11+deb9u12 amd64 [upgradable from: 8:6.9.7.4+dfsg-11+deb9u7]
